date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2014-07-18 09:30:00,0,4794,opening,10000.0,0.0,-1.0,-2,10,70.27,196.35,0.8271794813195539
2014-07-18 16:00:00,0,4795,holding,10006.649640945945,6.649640945945967,-1.0,-2,10,70.73,197.71,0.8271794813195539
2014-07-21 09:30:00,0,4796,holding,10001.821128161764,1.8211281617647057,-1.0,-2,10,70.7,197.09,0.8257665976948566
2014-07-21 16:00:00,0,4797,holding,10002.289076865063,2.289076865063625,-1.0,-2,10,70.86,197.34,0.8257665976948566
2014-07-22 09:30:00,0,4798,holding,10007.531179389904,7.531179389904521,-1.0,-2,10,70.89,198.01,0.8254061383741963
2014-07-22 16:00:00,0,4799,holding,10004.802820404411,4.802820404411728,-1.0,-2,10,71.32,198.2,0.8254061383741963
2014-07-23 09:30:00,0,4800,closing,10003.78435884837,3.7843588483703994,-1.0,-2,10,71.67,198.5,0.8275258519516248
2015-11-02 09:30:00,1,5446,opening,10003.78435884837,0.0,1.0,2,10,89.47,208.32,0.8820967310269542
2015-11-02 16:00:00,1,5447,holding,9990.224956516113,-13.559402332257903,1.0,2,10,89.94,210.39,0.8820967310269542
2015-11-03 09:30:00,1,5448,holding,9993.129762786426,-10.654596061944787,1.0,2,10,89.86,209.97,0.8809731830801228
2015-11-03 16:00:00,1,5449,holding,9985.444166456848,-18.34019239152242,1.0,2,10,90.0,211.0,0.8809731830801228
2015-11-04 09:30:00,1,5450,holding,9986.556827898254,-17.22753095011669,1.0,2,10,90.42,211.35,0.8811725247780787
2015-11-04 16:00:00,1,5451,holding,9993.38958553542,-10.394773312949994,1.0,2,10,90.23,210.36,0.8811725247780787
2015-11-05 09:30:00,1,5452,closing,9995.472117823701,-8.312241024668843,1.0,2,10,90.5,210.43,0.8810516979067976
2021-01-29 09:30:00,2,8084,opening,9995.472117823701,0.0,1.0,2,10,235.31,375.63,1.0561932729153771
2021-01-29 16:00:00,2,8085,holding,10007.096463797796,11.62434597409491,1.0,2,10,230.6,370.07,1.0561932729153771
2021-02-01 09:30:00,2,8086,holding,9977.945409336384,-17.526708487316736,1.0,2,10,231.54,373.72,1.0566735324496908
2021-02-01 16:00:00,2,8087,holding,9963.034958186208,-32.43715963749264,1.0,2,10,232.7,376.23,1.0566735324496908
2021-02-02 09:30:00,2,8088,holding,9932.013148252503,-63.45896957119791,1.0,2,10,233.21,379.65,1.0570374441408457
2021-02-02 16:00:00,2,8089,holding,9948.34547606711,-47.12664175659057,1.0,2,10,236.85,381.55,1.0570374441408457
2021-02-03 09:30:00,2,8090,closing,9971.845355938163,-23.626761885537366,1.0,2,10,240.14,382.44,1.0584241834210169
2021-04-28 09:30:00,3,8206,opening,9971.845355938163,0.0,1.0,2,10,270.47,417.81,1.0511740172352022
2021-04-28 16:00:00,3,8207,holding,9961.055169408828,-10.790186529335886,1.0,2,10,268.96,417.4,1.0511740172352022
2021-04-29 09:30:00,3,8208,holding,9948.76088810556,-23.084467832603636,1.0,2,10,270.8,420.32,1.0510602561026117
2021-04-29 16:00:00,3,8209,holding,9977.893940550372,6.048584612207657,1.0,2,10,273.44,420.06,1.0510602561026117
2021-04-30 09:30:00,3,8210,holding,9995.137469169187,23.292113231023297,1.0,2,10,272.61,417.63,1.05036863774687
2021-04-30 16:00:00,3,8211,holding,10011.206343426062,39.36098748789921,1.0,2,10,273.87,417.3,1.05036863774687
2021-05-03 09:30:00,3,8212,closing,10000.116336858953,28.270980920789405,1.0,2,10,275.0,419.43,1.0494697654036278
2022-04-27 09:30:00,4,8710,opening,10000.116336858953,0.0,1.0,2,10,272.74,417.24,1.012691541200568
2022-04-27 16:00:00,4,8711,holding,10066.212529396593,66.09619253763996,1.0,2,10,279.38,417.27,1.012691541200568
2022-04-28 09:30:00,4,8712,holding,10051.575414028324,51.45907716937111,1.0,2,10,283.0,422.29,1.0144478594365067
2022-04-28 16:00:00,4,8713,holding,9978.774840954053,-21.341495904900025,1.0,2,10,281.31,427.81,1.0144478594365067
2022-04-29 09:30:00,4,8714,holding,10008.710423992718,8.594087133763919,1.0,2,10,280.03,423.59,1.0142284471681169
2022-04-29 16:00:00,4,8715,holding,10075.381373617864,75.26503675890956,1.0,2,10,274.96,412.0,1.0142284471681169
2022-05-02 09:30:00,4,8716,closing,10063.072489539023,62.95615268006954,1.0,2,10,273.8,412.07,1.0132938053771832
2023-04-25 16:00:00,5,9209,opening,10063.072489539023,0.0,1.0,2,10,234.79,406.08,1.044985527190614
2023-04-26 09:30:00,5,9210,holding,10063.984582165003,0.9120926259798112,1.0,2,10,235.55,406.72,1.045227702098434
2023-04-26 16:00:00,5,9211,holding,10022.146240606702,-40.92624893232161,1.0,2,10,228.9,404.36,1.045227702098434
2023-04-27 09:30:00,5,9212,holding,10000.758622688869,-62.31386685015363,1.0,2,10,229.52,407.0,1.0436071255652954
2023-04-27 16:00:00,5,9213,holding,9975.924905667856,-87.14758387116625,1.0,2,10,232.69,412.41,1.0436071255652954
2023-04-28 09:30:00,5,9214,holding,9991.038772518012,-72.03371702101231,1.0,2,10,233.24,411.49,1.0436087745131366
2023-04-28 16:00:00,5,9215,holding,9987.641415110747,-75.43107442827574,1.0,2,10,237.54,415.93,1.0436087745131366
2023-05-01 09:30:00,5,9216,closing,9988.748348535824,-74.32414100319916,1.0,2,10,237.17,415.47,1.0444830980135902
