date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-01-08,588.7,590.58,585.2,589.49,589.49,46382948,46382948,0.79,0.13419,588.4925,"January 08, 25",0.0013419
2025-01-07,597.42,597.75,586.78,588.63,588.63,60393100,60393100,-8.79,-1.47,592.645,"January 07, 25",-0.0147
2025-01-06,596.27,599.7,593.6,595.36,595.36,47679442,47679442,-0.91,-0.15262,596.2325,"January 06, 25",-0.0015262
2025-01-03,587.53,592.6,586.43,591.95,591.95,37888500,37888500,4.42,0.7523,589.6275,"January 03, 25",0.007523
2025-01-02,589.39,591.13,580.5,584.64,584.64,50204000,50204000,-4.75,-0.80592,586.415,"January 02, 25",-0.0080592
2024-12-31,589.91,590.64,584.42,586.08,586.08,57052700,57052700,-3.82,-0.64925,587.7625,"December 31, 24",-0.0064925
2024-12-30,587.89,591.74,584.41,588.22,588.22,56578800,56578800,0.33,0.05613295,588.065,"December 30, 24",0.0005613295
2024-12-27,597.54,597.78,590.76,595.01,595.01,64969310,64969310,-2.53,-0.4234,595.2725,"December 27, 24",-0.004234
2024-12-26,599.5,602.48,598.08,601.34,601.34,41338900,41338900,1.84,0.30692,600.35,"December 26, 24",0.0030692
2024-12-24,596.06,601.34,595.47,601.3,601.3,33160100,33160100,5.24,0.87911,598.5425,"December 24, 24",0.0087911
2024-12-23,590.89,595.3,587.66,594.69,594.69,57635828,57635828,3.8,0.6431,592.135,"December 23, 24",0.006431
2024-12-20,581.77,595.75,580.91,591.15,591.15,125716700,125716700,9.38,1.61,587.395,"December 20, 24",0.0161
2024-12-19,591.36,593.0,585.85,586.1,584.13,85919500,85919500,-5.26,-0.88948,589.0775,"December 19, 24",-0.0088948
2024-12-18,603.98,606.41,585.89,586.28,584.31,108248729,108248729,-17.7,-2.93,595.64,"December 18, 24",-0.0293
2024-12-17,604.19,605.17,602.89,604.29,602.26,55773545,55773545,0.1,0.01655108,604.135,"December 17, 24",0.0001655108
2024-12-16,606.0,607.78,605.21,606.79,604.76,43695200,43695200,0.79,0.13036,606.445,"December 16, 24",0.0013036
2024-12-13,606.4,607.13,602.81,604.21,602.18,35904730,35904730,-2.19,-0.36115,605.1375,"December 13, 24",-0.0036115
2024-12-12,606.58,607.16,604.33,604.33,602.3,31543812,31543812,-2.25,-0.37093,605.6,"December 12, 24",-0.0037093
2024-12-11,605.78,608.43,605.5,607.46,605.42,28677723,28677723,1.68,0.27733,606.7925,"December 11, 24",0.0027733
2024-12-10,605.37,605.8,602.13,602.8,600.78,37234515,37234515,-2.57,-0.42453,604.025,"December 10, 24",-0.0042453
2024-12-09,607.69,607.86,604.08,604.68,602.65,34742738,34742738,-3.01,-0.49532,606.0775,"December 09, 24",-0.0049532
2024-12-06,607.44,609.07,607.02,607.81,605.77,31241549,31241549,0.37,0.06091137,607.835,"December 06, 24",0.0006091137
2024-12-05,607.66,608.48,606.3,606.66,604.63,28762200,28762200,-1.0,-0.16457,607.275,"December 05, 24",-0.0016457
2024-12-04,605.63,607.91,604.95,607.66,605.62,42787600,42787600,2.03,0.33519,606.5375,"December 04, 24",0.0033519
2024-12-03,603.39,604.16,602.34,603.91,601.88,26906629,26906629,0.52,0.08617975,603.45,"December 03, 24",0.0008617975
2024-12-02,602.97,604.32,602.47,603.63,601.61,31746000,31746000,0.66,0.10946,603.3475,"December 02, 24",0.0010946
2024-11-29,599.66,603.35,599.38,602.55,600.53,30177400,30177400,2.89,0.48194,601.235,"November 29, 24",0.0048194
2024-11-27,600.46,600.85,597.28,598.83,596.82,34000200,34000200,-1.63,-0.27146,599.355,"November 27, 24",-0.0027146
2024-11-26,598.8,601.33,598.07,600.65,598.64,45621300,45621300,1.85,0.30895,599.7125,"November 26, 24",0.0030895
2024-11-25,599.52,600.86,595.2,597.53,595.53,42441400,42441400,-1.99,-0.33193,598.2775,"November 25, 24",-0.0033193
2024-11-22,593.66,596.15,593.15,595.51,593.51,38226400,38226400,1.85,0.31163,594.6175,"November 22, 24",0.0031163
2024-11-21,593.4,595.12,587.45,593.67,591.68,46750300,46750300,0.27,0.04550051,592.41,"November 21, 24",0.0004550051
2024-11-20,590.38,590.79,584.63,590.5,588.52,50032600,50032600,0.12,0.02032589,589.075,"November 20, 24",0.0002032589
2024-11-19,584.71,591.04,584.03,590.3,588.32,49412046,49412046,5.59,0.95603,587.52,"November 19, 24",0.0095603
2024-11-18,586.22,589.49,585.34,588.15,586.18,37084100,37084100,1.93,0.32923,587.3,"November 18, 24",0.0032923
2024-11-15,589.72,590.2,583.86,585.75,583.79,75988800,75988800,-3.97,-0.6732,587.3825,"November 15, 24",-0.006732
2024-11-14,597.32,597.81,592.65,593.35,591.36,38904109,38904109,-3.97,-0.66464,595.2825,"November 14, 24",-0.0066464
2024-11-13,597.37,599.23,594.96,597.19,595.19,47388640,47388640,-0.18,-0.03013208,597.1875,"November 13, 24",-0.0003013208
2024-11-12,598.68,599.29,594.37,596.9,594.9,43006128,43006128,-1.78,-0.29732,597.31,"November 12, 24",-0.0029732
2024-11-11,599.81,600.17,597.0,598.76,596.75,37586800,37586800,-1.05,-0.17506,598.935,"November 11, 24",-0.0017506
2024-11-08,596.17,599.64,596.17,598.19,596.18,46444900,46444900,2.02,0.33883,597.5425,"November 08, 24",0.0033883
2024-11-07,593.08,596.65,593.0,595.61,593.61,47233212,47233212,2.53,0.42659,594.585,"November 07, 24",0.0042659
2024-11-06,589.2,591.93,585.39,591.04,589.06,68182000,68182000,1.84,0.31229,589.39,"November 06, 24",0.0031229
2024-11-05,570.74,576.74,570.52,576.7,574.77,39478322,39478322,5.96,1.04,573.675,"November 05, 24",0.0104
2024-11-04,571.18,572.5,567.89,569.81,567.9,38217000,38217000,-1.37,-0.23985,570.345,"November 04, 24",-0.0023985
2024-11-01,571.32,575.55,570.62,571.04,569.12,45667533,45667533,-0.28,-0.04900931,572.1325,"November 01, 24",-0.0004900931
2024-10-31,575.56,575.63,568.44,568.64,566.73,60182500,60182500,-6.92,-1.2,572.0675,"October 31, 24",-0.012
2024-10-30,581.29,583.32,579.29,580.01,578.06,41435839,41435839,-1.28,-0.2202,580.9775,"October 30, 24",-0.002202
2024-10-29,579.85,582.91,578.43,581.77,579.82,42899700,42899700,1.92,0.33112,580.74,"October 29, 24",0.0033112
2024-10-28,582.58,582.71,580.52,580.83,578.88,30174704,30174704,-1.75,-0.30039,581.66,"October 28, 24",-0.0030039
2024-10-25,581.51,584.46,578.08,579.04,577.1,47268200,47268200,-2.47,-0.42476,580.7725,"October 25, 24",-0.0042476
2024-10-24,579.98,580.06,576.57,579.24,577.3,34979900,34979900,-0.74,-0.12759,578.9625,"October 24, 24",-0.0012759
2024-10-23,581.26,581.71,574.42,577.99,576.05,49314600,49314600,-3.27,-0.56257,578.845,"October 23, 24",-0.0056257
2024-10-22,581.05,584.5,580.38,583.32,581.36,34183835,34183835,2.27,0.39067,582.3125,"October 22, 24",0.0039067
2024-10-21,583.85,584.85,580.6,583.63,581.67,36439010,36439010,-0.22,-0.03768091,583.2325,"October 21, 24",-0.0003768091
2024-10-18,584.07,585.39,582.58,584.59,582.63,37416801,37416801,0.52,0.08903042,584.1575,"October 18, 24",0.0008903042
2024-10-17,585.91,586.12,582.16,582.35,580.4,34393714,34393714,-3.56,-0.6076,584.135,"October 17, 24",-0.006076
2024-10-16,579.78,582.83,578.96,582.3,580.35,30725436,30725436,2.52,0.43465,580.9675,"October 16, 24",0.0043465
2024-10-15,584.59,584.9,578.54,579.78,577.84,54203636,54203636,-4.81,-0.8228,581.9525,"October 15, 24",-0.008228
