date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2009-10-23 09:30:00,0,2414,opening,10000.0,0.0,1.0,2,10,51.54,109.69,1.1388163314577429
2009-10-23 16:00:00,0,2415,holding,10015.93494293647,15.934942936469634,1.0,2,10,51.3,108.08,1.1388163314577429
2009-10-26 09:30:00,0,2416,closing,10014.56836333872,14.568363338720292,1.0,2,10,51.3,108.2,1.1379173067806905
2010-07-22 16:00:00,1,2787,opening,10014.56836333872,0.0,1.0,2,10,49.29,109.46,1.1083568180708776
2010-07-23 09:30:00,1,2788,holding,10012.906748338475,-1.6616150002440477,1.0,2,10,48.88,109.24,1.108404595648635
2010-07-23 16:00:00,1,2789,closing,10012.538973567047,-2.0293897716733555,1.0,2,10,50.14,110.41,1.108404595648635
2011-01-26 09:30:00,2,3046,opening,10012.538973567047,0.0,1.0,2,10,56.39,129.49,1.0971591840527508
2011-01-26 16:00:00,2,3047,holding,10008.664087035751,-3.874886531294692,1.0,2,10,56.2,129.67,1.0971591840527508
2011-01-27 09:30:00,2,3048,closing,10009.434939280536,-3.1040342865105353,1.0,2,10,56.31,129.7,1.0971291753713985
2012-10-18 16:00:00,3,3921,opening,10009.434939280536,0.0,1.0,2,10,73.94,145.82,1.0430528225390774
2012-10-19 09:30:00,3,3922,holding,10012.151181901392,2.71624262085541,1.0,2,10,73.93,145.55,1.0434236066924534
2012-10-19 16:00:00,3,3923,closing,10030.481122868236,21.046183587699726,1.0,2,10,73.51,143.39,1.0434236066924534
2013-07-23 16:00:00,4,4297,opening,10030.481122868236,0.0,-1.0,-2,10,82.21,169.14,1.0100620852260473
2013-07-24 09:30:00,4,4298,holding,10035.846526422205,5.36540355396932,-1.0,-2,10,82.33,169.79,1.0100637792256315
2013-07-24 16:00:00,4,4299,closing,10024.518737939834,-5.962384928401383,-1.0,-2,10,82.18,168.52,1.0100637792256315
2014-04-22 16:00:00,5,4673,opening,10024.518737939834,0.0,1.0,2,10,86.89,187.89,0.8220297161659956
2014-04-23 09:30:00,5,4674,holding,10025.276361712768,0.7576237729327168,1.0,2,10,86.9,187.81,0.8210233527059531
2014-04-23 16:00:00,5,4675,closing,10040.535668690964,16.01693075113031,1.0,2,10,88.13,187.45,0.8210233527059531
2014-10-21 16:00:00,6,4927,opening,10040.535668690964,0.0,1.0,2,10,94.24,194.07,0.7983326856193272
2014-10-22 09:30:00,6,4928,holding,10042.821337559857,2.28566886889426,1.0,2,10,94.74,194.41,0.7985327244500151
2014-10-22 16:00:00,6,4929,closing,10064.952659752511,24.416991061546717,1.0,2,10,95.58,192.69,0.7985327244500151
2017-04-24 09:30:00,7,6186,opening,10064.952659752511,0.0,1.0,2,10,120.96,237.18,0.7842046148069998
2017-04-24 16:00:00,7,6187,closing,10061.131080213992,-3.8215795385191544,1.0,2,10,120.57,237.17,0.7842046148069998
2018-10-19 09:30:00,8,6940,opening,10061.131080213992,0.0,1.0,2,10,124.33,277.13,0.8080116933271526
2018-10-19 16:00:00,8,6941,holding,10085.641583115272,24.510502901278855,1.0,2,10,126.07,276.25,0.8080116933271526
2018-10-22 09:30:00,8,6942,closing,10077.881495415319,16.750415201325335,1.0,2,10,125.9,277.0,0.807910074962607
2021-01-22 09:30:00,9,8074,opening,10077.881495415319,0.0,1.0,2,10,146.84,382.25,0.8377361866981413
2021-01-22 16:00:00,9,8075,holding,10062.603757439121,-15.277737976198251,1.0,2,10,145.84,382.88,0.8377361866981413
2021-01-25 09:30:00,9,8076,closing,10042.585641564205,-35.295853851113776,1.0,2,10,144.5,383.67,0.8396336553217272
2021-07-20 16:00:00,10,8321,opening,10042.585641564205,0.0,1.0,2,10,151.09,431.06,0.8359253556129771
2021-07-21 09:30:00,10,8322,holding,10044.58579701236,2.000155448154224,1.0,2,10,152.36,432.34,0.8352345620117003
2021-07-21 16:00:00,10,8323,closing,10020.911846653311,-21.673794910892976,1.0,2,10,151.84,434.55,0.8352345620117003
2021-10-19 16:00:00,11,8449,opening,10020.911846653311,0.0,1.0,2,10,155.39,450.64,0.8368481688219765
2021-10-20 09:30:00,11,8450,holding,10021.011290626084,0.0994439727723978,1.0,2,10,155.81,451.13,0.836477618021222
2021-10-20 16:00:00,11,8451,closing,10039.099634065162,18.187787411850806,1.0,2,10,158.69,452.41,0.836477618021222
2022-04-19 16:00:00,12,8699,opening,10039.099634065162,0.0,1.0,2,10,176.16,445.04,0.7727408918237308
2022-04-20 09:30:00,12,8700,holding,10031.972105298875,-7.127528766286013,1.0,2,10,176.9,446.92,0.7673089297664883
2022-04-20 16:00:00,12,8701,closing,10057.14967900818,18.05004494301874,1.0,2,10,177.71,444.71,0.7673089297664883
2024-01-19 16:00:00,13,9579,opening,10057.14967900818,0.0,1.0,2,10,211.67,482.43,0.6840616844772182
2024-01-22 09:30:00,13,9580,closing,10057.04150439344,-0.10817461473972223,1.0,2,10,212.74,484.01,0.6841602459460856
2024-04-17 16:00:00,14,9701,opening,10057.04150439344,0.0,1.0,2,10,206.58,500.55,0.6821422087459968
2024-04-18 09:30:00,14,9702,holding,10066.286870808373,9.245366414931972,1.0,2,10,208.48,501.98,0.6814302424359144
2024-04-18 16:00:00,14,9703,closing,10102.467569143524,45.42606475008371,1.0,2,10,210.42,499.52,0.6814302424359144
2024-07-19 16:00:00,15,9829,opening,10102.467569143524,0.0,1.0,2,10,203.48,548.99,0.6775086273470783
2024-07-22 09:30:00,15,9830,closing,10072.599473186907,-29.868095956617594,1.0,2,10,203.21,553.0,0.6771278779147936
