date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-04-25 09:30:00,0,1658,opening,10000.0,0.0,1.0,1,10,51.0,139.41,1.0944626818983938
2008-04-25 16:00:00,0,1659,holding,9990.020520904392,-9.979479095606914,1.0,1,10,50.21,139.6,1.0944626818983938
2008-04-28 09:30:00,0,1660,closing,9985.256025395078,-14.743974604922448,1.0,1,10,50.04,139.88,1.093378764635636
2008-07-23 16:00:00,1,1781,opening,9985.256025395078,0.0,1.0,1,10,45.6,128.17,1.1428043852699763
2008-07-24 09:30:00,1,1782,holding,9983.813257940119,-1.4427674549591702,1.0,1,10,45.65,128.34,1.1438862324379033
2008-07-24 16:00:00,1,1783,holding,9988.454622043258,3.19859664818118,1.0,1,10,42.88,125.51,1.1438862324379033
2008-07-25 09:30:00,1,1784,holding,9988.311965379233,3.055939984155267,1.0,1,10,43.3,125.89,1.1524599273797382
2008-07-25 16:00:00,1,1785,holding,9983.29746335884,-1.9585620362378586,1.0,1,10,42.33,125.48,1.1524599273797382
2008-07-28 09:30:00,1,1786,closing,9982.15462204326,-3.1014033518188455,1.0,1,10,42.25,125.51,1.1568424262861456
2008-10-23 09:30:00,2,1910,opening,9982.15462204326,0.0,1.0,1,10,37.02,90.29,1.2292254442098574
2008-10-23 16:00:00,2,1911,holding,10004.74546582432,22.590843781062073,1.0,1,10,41.0,91.69,1.2292254442098574
2008-10-24 09:30:00,2,1912,holding,10061.535367217533,79.38074517427411,1.0,1,10,37.3,84.06,1.191852089604759
2008-10-24 16:00:00,2,1913,holding,10069.30444898008,87.14982693682035,1.0,1,10,41.74,87.04,1.191852089604759
2008-10-27 09:30:00,2,1914,closing,10076.657161233124,94.50253918986587,1.0,1,10,41.16,85.97,1.202011956078397
2009-01-27 16:00:00,3,2039,opening,10076.657161233124,0.0,1.0,1,10,39.89,84.53,1.1534350840782885
2009-01-28 09:30:00,3,2040,holding,10072.68792516086,-3.9692360722640663,1.0,1,10,41.65,86.4,1.1607558018230522
2009-01-28 16:00:00,3,2041,holding,10057.168917828485,-19.48824340463903,1.0,1,10,41.24,87.39,1.1607558018230522
2009-01-29 09:30:00,3,2042,holding,10060.632886904688,-16.024274328436952,1.0,1,10,40.11,86.11,1.1611473191052066
2009-01-29 16:00:00,3,2043,holding,10071.826474216308,-4.83068701681562,1.0,1,10,39.43,84.55,1.1611473191052066
2009-01-30 09:30:00,3,2044,holding,10071.166703354773,-5.490457878352343,1.0,1,10,39.86,84.98,1.1610114871456432
2009-01-30 16:00:00,3,2045,closing,10083.765557662455,7.108396429330939,1.0,1,10,38.64,82.83,1.1610114871456432
2009-04-30 16:00:00,4,2169,opening,10083.765557662455,0.0,1.0,1,10,41.14,87.42,1.1613476758306125
2009-05-01 09:30:00,4,2170,holding,10079.733288127289,-4.032269535166102,1.0,1,10,40.76,87.44,1.1623099793792808
2009-05-01 16:00:00,4,2171,holding,10079.007223586052,-4.758334076403862,1.0,1,10,41.21,87.89,1.1623099793792808
2009-05-04 09:30:00,4,2172,closing,10076.34232892557,-7.423228736885865,1.0,1,10,41.71,88.55,1.1628529201501911
2009-08-03 09:30:00,5,2298,opening,10076.34232892557,0.0,1.0,1,10,43.2,99.85,1.1540070004523504
2009-08-03 16:00:00,5,2299,holding,10087.7336876229,11.391358697331096,1.0,1,10,45.02,100.44,1.1540070004523504
2009-08-04 09:30:00,5,2300,closing,10092.726719124936,16.384390199366674,1.0,1,10,45.0,99.99,1.1546951851395648
2009-10-23 09:30:00,6,2414,opening,10092.726719124936,0.0,1.0,2,10,51.54,109.69,1.1388163314577429
2009-10-23 16:00:00,6,2415,holding,10108.661662061406,15.934942936469634,1.0,2,10,51.3,108.08,1.1388163314577429
2009-10-26 09:30:00,6,2416,closing,10107.295082463655,14.568363338720292,1.0,2,10,51.3,108.2,1.1379173067806905
2010-01-26 16:00:00,7,2541,opening,10107.295082463655,0.0,1.0,1,10,50.23,109.31,1.1309829958263273
2010-01-27 09:30:00,7,2542,holding,10109.478458657812,2.1833761941568874,1.0,1,10,50.29,109.17,1.13104003087935
2010-01-27 16:00:00,7,2543,holding,10108.113970885359,0.81888842170316,1.0,1,10,50.9,109.83,1.13104003087935
2010-01-28 09:30:00,7,2544,holding,10105.742432100384,-1.552650363271595,1.0,1,10,51.07,110.19,1.1312446386768364
2010-01-28 16:00:00,7,2545,holding,10116.06435663277,8.769274169114988,1.0,1,10,50.27,108.57,1.1312446386768364
2010-01-29 09:30:00,7,2546,holding,10111.048736552386,3.7536540887310417,1.0,1,10,50.3,109.04,1.131439981034046
2010-01-29 16:00:00,7,2547,closing,10133.409955983521,26.114873519865554,1.0,1,10,50.67,107.39,1.131439981034046
2010-04-23 16:00:00,8,2663,opening,10133.409955983521,0.0,1.0,1,10,53.38,121.81,1.1268649094126637
2010-04-26 09:30:00,8,2664,holding,10131.159210019756,-2.250745963764973,1.0,1,10,53.2,121.85,1.126864492379963
2010-04-26 16:00:00,8,2665,closing,10123.99353456682,-9.416421416701667,1.0,1,10,51.92,121.35,1.126864492379963
2010-07-22 16:00:00,9,2787,opening,10123.99353456682,0.0,1.0,2,10,49.29,109.46,1.1083568180708776
2010-07-23 09:30:00,9,2788,holding,10122.331919566575,-1.6616150002440477,1.0,2,10,48.88,109.24,1.108404595648635
2010-07-23 16:00:00,9,2789,holding,10121.964144795147,-2.0293897716733555,1.0,2,10,50.14,110.41,1.108404595648635
2010-07-26 09:30:00,9,2790,closing,10121.258266840812,-2.7352677260079905,1.0,2,10,50.28,110.6,1.1088591948540896
2010-10-21 16:00:00,10,2915,opening,10121.258266840812,0.0,1.0,1,10,54.98,118.13,1.1005231876951345
