date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2023-04-19 16:00:00,0,9201,opening,10000.0,0.0,1.0,2,10,182.57,414.14,0.6945269104455754
2023-04-20 09:30:00,0,9202,holding,10027.549638476055,27.549638476055396,1.0,2,10,183.29,411.21,0.6946344247774239
2023-04-20 16:00:00,0,9203,holding,9982.59630817607,-17.40369182393008,1.0,2,10,179.26,411.88,0.6946344247774239
2023-04-21 09:30:00,0,9204,holding,9971.14327475369,-28.856725246311168,1.0,2,10,178.33,412.19,0.6940949713866107
2023-04-21 16:00:00,0,9205,holding,9982.773822062643,-17.226177937355786,1.0,2,10,179.5,412.2,0.6940949713866107
2023-04-24 09:30:00,0,9206,closing,9984.33232857458,-15.66767142542031,1.0,2,10,179.51,411.99,0.6942451710015001
2024-01-19 16:00:00,1,9579,opening,9984.33232857458,0.0,1.0,2,10,211.67,482.43,0.6840616844772182
2024-01-22 09:30:00,1,9580,holding,9984.22415395984,-0.10817461473972223,1.0,2,10,212.74,484.01,0.6841602459460856
2024-01-22 16:00:00,1,9581,closing,9999.254899392912,14.922570818332762,1.0,2,10,213.86,483.45,0.6841602459460856
2024-10-17 16:00:00,2,9955,opening,9999.254899392912,0.0,1.0,2,10,264.82,582.35,0.6583632516566769
2024-10-18 09:30:00,2,9956,holding,10031.231051464418,31.97615207150482,1.0,2,10,269.15,584.07,0.6572237550853739
2024-10-18 16:00:00,2,9957,holding,9990.807562555803,-8.447336837109667,1.0,2,10,265.45,584.59,0.6572237550853739
2024-10-21 09:30:00,2,9958,closing,10008.179450618061,8.924551225149802,1.0,2,10,266.7,583.85,0.6573638572564001
