date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2008-01-29 16:00:00,0,1537,opening,10000.0,0.0,1.0,1,209.95171110644552,47.63,135.91,1.0448352700458468
2008-01-30 09:30:00,0,1538,holding,10049.295746192549,49.29574619254952,1.0,1,209.95171110644552,47.52,135.58,1.0449935380966788
2008-01-30 16:00:00,0,1539,holding,10261.35529499178,261.3552949917788,1.0,1,209.95171110644552,47.83,134.91,1.0449935380966788
2008-01-31 09:30:00,0,1540,holding,10466.62534701135,466.62534701134996,1.0,1,209.95171110644552,47.23,133.4,1.0432674407461773
2008-01-31 16:00:00,0,1541,holding,9778.404473175111,-221.59552682488888,1.0,1,209.95171110644552,48.1,137.37,1.0432674407461773
2008-02-01 09:30:00,0,1542,holding,9703.75486076148,-296.2451392385197,1.0,1,209.95171110644552,48.34,137.94,1.0364421505986372
2008-02-01 16:00:00,0,1543,holding,9614.834045545187,-385.16595445481295,1.0,1,209.95171110644552,49.63,139.58,1.0364421505986372
2008-02-04 09:30:00,0,1544,closing,9695.99907807027,-304.00092192973045,1.0,1,209.95171110644552,49.63,139.21,1.0464196776362853
2008-04-25 09:30:00,1,1658,opening,9695.99907807027,0.0,1.0,1,190.11762898177,51.0,139.41,1.0944626818983938
2008-04-25 16:00:00,1,1659,holding,9506.271587657278,-189.7274904129925,1.0,1,190.11762898177,50.21,139.6,1.0944626818983938
2008-04-28 09:30:00,1,1660,holding,9415.690128704742,-280.30894936552846,1.0,1,190.11762898177,50.04,139.88,1.093378764635636
2008-04-28 16:00:00,1,1661,holding,9604.593984094503,-91.40509397576633,1.0,1,190.11762898177,50.76,139.63,1.093378764635636
2008-04-29 09:30:00,1,1662,holding,9624.113559479396,-71.88551859087457,1.0,1,190.11762898177,50.6,139.39,1.0920053793925573
2008-04-29 16:00:00,1,1663,holding,9511.807926054726,-184.191152015545,1.0,1,190.11762898177,49.67,139.08,1.0920053793925573
2008-04-30 09:30:00,1,1664,closing,9468.111829535503,-227.8872485347666,1.0,1,190.11762898177,49.67,139.29,1.0968556797111355
2008-07-23 16:00:00,2,1781,opening,9468.111829535503,0.0,1.0,1,207.63403134946276,45.6,128.17,1.1428043852699763
2008-07-24 09:30:00,2,1782,holding,9438.155067238205,-29.956762297297693,1.0,1,207.63403134946276,45.65,128.34,1.1438862324379033
2008-07-24 16:00:00,2,1783,holding,9534.525581207776,66.41375167227376,1.0,1,207.63403134946276,42.88,125.51,1.1438862324379033
2008-07-25 09:30:00,2,1784,holding,9531.56354338272,63.45171384721714,1.0,1,207.63403134946276,43.3,125.89,1.1524599273797382
2008-07-25 16:00:00,2,1785,holding,9427.445416412294,-40.66641312320792,1.0,1,207.63403134946276,42.33,125.48,1.1524599273797382
2008-07-28 09:30:00,2,1786,holding,9403.716141457615,-64.39568807788831,1.0,1,207.63403134946276,42.25,125.51,1.1568424262861456
2008-07-28 16:00:00,2,1787,closing,9816.294139267628,348.1823097321248,1.0,1,207.63403134946276,42.1,123.64,1.1568424262861456
2008-10-23 09:30:00,3,1910,opening,9816.294139267628,0.0,1.0,1,265.1619162416971,37.02,90.29,1.2292254442098574
2008-10-23 16:00:00,3,1911,holding,10415.317281917953,599.0231426503245,1.0,1,265.1619162416971,41.0,91.69,1.2292254442098574
2008-10-24 09:30:00,3,1912,holding,11921.169189578064,2104.875050310437,1.0,1,265.1619162416971,37.3,84.06,1.191852089604759
2008-10-24 16:00:00,3,1913,holding,12127.175650337584,2310.8815110699556,1.0,1,265.1619162416971,41.74,87.04,1.191852089604759
2008-10-27 09:30:00,3,1914,holding,12322.141577396718,2505.847438129091,1.0,1,265.1619162416971,41.16,85.97,1.202011956078397
2008-10-27 16:00:00,3,1915,holding,12039.223198783762,2222.929059516135,1.0,1,265.1619162416971,37.61,83.95,1.202011956078397
2008-10-28 09:30:00,3,1916,closing,11170.267909430564,1353.9737701629365,1.0,1,265.1619162416971,38.5,87.34,1.1945596871706212
2009-01-27 16:00:00,4,2039,opening,11170.267909430564,0.0,1.0,1,280.0267713569958,39.89,84.53,1.1534350840782885
2009-01-28 09:30:00,4,2040,holding,11059.118673223582,-111.14923620698298,1.0,1,280.0267713569958,41.65,86.4,1.1607558018230522
2009-01-28 16:00:00,4,2041,holding,10624.54492142853,-545.7229880020335,1.0,1,280.0267713569958,41.24,87.39,1.1607558018230522
2009-01-29 09:30:00,4,2042,holding,10721.545329077464,-448.7225803530992,1.0,1,280.0267713569958,40.11,86.11,1.1611473191052066
2009-01-29 16:00:00,4,2043,holding,11034.995740555061,-135.27216887550358,1.0,1,280.0267713569958,39.43,84.55,1.1611473191052066
2009-01-30 09:30:00,4,2044,holding,11016.520390135905,-153.7475192946588,1.0,1,280.0267713569958,39.86,84.98,1.1610114871456432
2009-01-30 16:00:00,4,2045,holding,11369.322039593679,199.05413016311402,1.0,1,280.0267713569958,38.64,82.83,1.1610114871456432
2009-02-02 09:30:00,4,2046,closing,11538.270089171287,368.0021797407222,1.0,1,280.0267713569958,37.79,81.57,1.1620291975239303
2009-04-30 16:00:00,5,2169,opening,11538.270089171287,0.0,1.0,1,280.4635413021703,41.14,87.42,1.1613476758306125
2009-05-01 09:30:00,5,2170,holding,11425.179629839533,-113.09045933175412,1.0,1,280.4635413021703,40.76,87.44,1.1623099793792808
2009-05-01 16:00:00,5,2171,holding,11404.816166594585,-133.45392257670193,1.0,1,280.4635413021703,41.21,87.89,1.1623099793792808
2009-05-04 09:30:00,5,2172,holding,11330.075587226982,-208.19450194430465,1.0,1,280.4635413021703,41.71,88.55,1.1628529201501911
2009-05-04 16:00:00,5,2173,holding,10686.14810045853,-852.1219887127567,1.0,1,280.4635413021703,42.12,90.88,1.1628529201501911
2009-05-05 09:30:00,5,2174,holding,10750.659701461664,-787.6103877096223,1.0,1,280.4635413021703,41.99,90.57,1.1604021153893866
2009-05-05 16:00:00,5,2175,closing,10164.490900140128,-1373.7791890311591,1.0,1,280.4635413021703,39.9,90.57,1.1604021153893866
2009-08-03 09:30:00,6,2298,opening,10164.490900140128,0.0,1.0,1,235.2891412069474,43.2,99.85,1.1540070004523504
2009-08-03 16:00:00,6,2299,holding,10432.51720064766,268.0263005075324,1.0,1,235.2891412069474,45.02,100.44,1.1540070004523504
2009-08-04 09:30:00,6,2300,holding,10549.997810060979,385.50690992085106,1.0,1,235.2891412069474,45.0,99.99,1.1546951851395648
2009-08-04 16:00:00,6,2301,holding,10653.67915356263,489.1882534225025,1.0,1,235.2891412069474,46.26,100.7,1.1546951851395648
2009-08-05 09:30:00,6,2302,holding,10644.083947085084,479.59304694495535,1.0,1,235.2891412069474,46.3,100.77,1.155670002883328
2009-08-05 16:00:00,6,2303,holding,10807.714020412996,643.2231202728667,1.0,1,235.2891412069474,46.58,100.41,1.155670002883328
2009-08-06 09:30:00,6,2304,closing,10779.280922909553,614.790022769424,1.0,1,235.2891412069474,46.99,100.87,1.1560575723860531
2009-10-23 09:30:00,7,2414,opening,10779.280922909553,0.0,1.0,1,209.14398375843138,51.54,109.69,1.1388163314577429
2009-10-23 16:00:00,7,2415,holding,11112.550667579206,333.26974466965356,1.0,1,209.14398375843138,51.3,108.08,1.1388163314577429
2009-10-26 09:30:00,7,2416,holding,11083.969477459577,304.6885545500244,1.0,1,209.14398375843138,51.3,108.2,1.1379173067806905
2009-10-26 16:00:00,7,2417,holding,11378.668632220077,599.3877093105235,1.0,1,209.14398375843138,51.24,106.91,1.1379173067806905
2009-10-27 09:30:00,7,2418,holding,11354.270321775615,574.9893988660622,1.0,1,209.14398375843138,51.26,107.03,1.1366811672291197
2009-10-27 16:00:00,7,2419,holding,11459.820681302957,680.5397583934036,1.0,1,209.14398375843138,51.07,106.42,1.1366811672291197
2009-10-28 09:30:00,7,2420,closing,11494.848201345938,715.5672784363854,1.0,1,209.14398375843138,50.93,106.15,1.1367535863572142
2010-01-26 16:00:00,8,2541,opening,11494.848201345938,0.0,1.0,1,228.84428033736688,50.23,109.31,1.1309829958263273
2010-01-27 09:30:00,8,2542,holding,11544.813516731696,49.965315385757194,1.0,1,228.84428033736688,50.29,109.17,1.13104003087935
2010-01-27 16:00:00,8,2543,holding,11513.587994500063,18.739793154126186,1.0,1,228.84428033736688,50.9,109.83,1.13104003087935
2010-01-28 09:30:00,8,2544,holding,11459.316685846094,-35.53151549984394,1.0,1,228.84428033736688,51.07,110.19,1.1312446386768364
2010-01-28 16:00:00,8,2545,holding,11695.528024977157,200.67982363121803,1.0,1,228.84428033736688,50.27,108.57,1.1312446386768364
2010-01-29 09:30:00,8,2546,holding,11580.748428203045,85.90022685710699,1.0,1,228.84428033736688,50.3,109.04,1.131439981034046
2010-01-29 16:00:00,8,2547,holding,12092.472145021437,597.6239436754992,1.0,1,228.84428033736688,50.67,107.39,1.131439981034046
2010-02-01 09:30:00,8,2548,closing,11959.846111303106,464.99790995716774,1.0,1,228.84428033736688,50.95,108.15,1.1308073748624197
2010-04-23 16:00:00,9,2663,opening,11959.846111303106,0.0,1.0,1,224.05106990077005,53.38,121.81,1.1268649094126637
2010-04-26 09:30:00,9,2664,holding,11909.417907177469,-50.4282041256382,1.0,1,224.05106990077005,53.2,121.85,1.126864492379963
2010-04-26 16:00:00,9,2665,holding,11748.870181998253,-210.9759293048533,1.0,1,224.05106990077005,51.92,121.35,1.126864492379963
2010-04-27 09:30:00,9,2666,holding,11851.666030942275,-108.18008036083079,1.0,1,224.05106990077005,51.59,120.65,1.127531637741599
2010-04-27 16:00:00,9,2667,holding,12162.043273082425,202.1971617793182,1.0,1,224.05106990077005,50.53,118.48,1.127531637741599
2010-04-28 09:30:00,9,2668,holding,11984.524698102412,24.678586799306053,1.0,1,224.05106990077005,50.38,119.05,1.1279864851286836
2010-04-28 16:00:00,9,2669,closing,12067.005644595092,107.15953329198645,1.0,1,224.05106990077005,51.12,119.38,1.1279864851286836
2010-07-22 16:00:00,10,2787,opening,12067.005644595092,0.0,-1.0,-1,244.81650729549793,49.29,109.46,1.1083568180708776
2010-07-23 09:30:00,10,2788,holding,12107.684722678048,40.67907808295557,-1.0,-1,244.81650729549793,48.88,109.24,1.108404595648635
2010-07-23 16:00:00,10,2789,holding,12116.68845617932,49.68281158422789,-1.0,-1,244.81650729549793,50.14,110.41,1.108404595648635
2010-07-26 09:30:00,10,2790,holding,12133.96951371503,66.96386911993753,-1.0,-1,244.81650729549793,50.28,110.6,1.1088591948540896
2010-07-26 16:00:00,10,2791,holding,12352.84099071057,285.83534611547793,-1.0,-1,244.81650729549793,50.45,111.56,1.1088591948540896
2010-07-27 09:30:00,10,2792,holding,12444.915905994652,377.91026139956006,-1.0,-1,244.81650729549793,50.75,112.17,1.108558382200871
2010-07-27 16:00:00,10,2793,closing,12318.301404311782,251.29575971669027,-1.0,-1,244.81650729549793,50.58,111.55,1.108558382200871
2010-10-21 16:00:00,11,2915,opening,12318.301404311782,0.0,1.0,1,224.05058938362646,54.98,118.13,1.1005231876951345
2010-10-22 09:30:00,11,2916,holding,12298.563852753961,-19.737551557820915,1.0,1,224.05058938362646,55.09,118.31,1.0999406010857942
2010-10-22 16:00:00,11,2917,holding,12290.94144389446,-27.359960417320817,1.0,1,224.05058938362646,55.1,118.35,1.0999406010857942
2010-10-25 09:30:00,11,2918,holding,12131.99697181742,-186.30443249436226,1.0,1,224.05058938362646,55.26,119.14,1.1001036131259538
2010-10-25 16:00:00,11,2919,holding,12314.425728600732,-3.8756757110502966,1.0,1,224.05058938362646,55.59,118.7,1.1001036131259538
2010-10-26 09:30:00,11,2920,holding,12227.11633104799,-91.1850732637916,1.0,1,224.05058938362646,54.54,118.1,1.1002351380707807
2010-10-26 16:00:00,11,2921,closing,12184.025941169233,-134.27546314254948,1.0,1,224.05058938362646,55.03,118.72,1.1002351380707807
2011-01-26 09:30:00,12,3046,opening,12184.025941169233,0.0,1.0,1,216.06713852046875,56.39,129.49,1.0971591840527508
2011-01-26 16:00:00,12,3047,holding,12100.302376678399,-83.72356449083487,1.0,1,216.06713852046875,56.2,129.67,1.0971591840527508
2011-01-27 09:30:00,12,3048,holding,12116.957960553658,-67.06798061557562,1.0,1,216.06713852046875,56.31,129.7,1.0971291753713985
2011-01-27 16:00:00,12,3049,holding,12117.352031714281,-66.67390945495215,1.0,1,216.06713852046875,56.63,129.99,1.0971291753713985
2011-01-28 09:30:00,12,3050,holding,12092.59638183035,-91.42955933888346,1.0,1,216.06713852046875,56.68,130.14,1.0970745744780368
2011-01-28 16:00:00,12,3051,holding,12478.303281184886,294.27734001565335,1.0,1,216.06713852046875,55.81,127.72,1.0970745744780368
2011-01-31 09:30:00,12,3052,closing,12395.332265294983,211.30632412574911,1.0,1,216.06713852046875,55.81,128.07,1.096724780729333
2011-04-21 16:00:00,13,3167,opening,12395.332265294983,0.0,1.0,1,202.14175253253396,61.32,133.78,1.0886982540469883
2011-04-25 09:30:00,13,3168,holding,12417.339402600199,22.007137305215558,1.0,1,202.14175253253396,61.32,133.68,1.0884342275433567
2011-04-25 16:00:00,13,3169,holding,12519.127463687255,123.79519839227257,1.0,1,202.14175253253396,61.78,133.64,1.0884342275433567
2011-04-26 09:30:00,13,3170,holding,12430.919618261187,35.58735296620309,1.0,1,202.14175253253396,61.79,134.05,1.0884532777547555
2011-04-26 16:00:00,13,3171,closing,12187.210101189572,-208.12216410541035,1.0,1,202.14175253253396,61.39,134.79,1.0884532777547555
2011-07-22 09:30:00,14,3292,opening,12187.210101189572,0.0,-1.0,-1,210.48722109135704,57.9,134.52,1.0858577869521624
2011-07-22 16:00:00,14,3293,holding,12268.279563223365,81.06946203379313,-1.0,-1,210.48722109135704,57.58,134.58,1.0858577869521624
2011-07-25 09:30:00,14,3294,holding,12125.169729460986,-62.04037172858697,-1.0,-1,210.48722109135704,56.87,133.3,1.0862963619787591
2011-07-25 16:00:00,14,3295,holding,12292.613287781349,105.40318659177649,-1.0,-1,210.48722109135704,56.65,133.83,1.0862963619787591
2011-07-26 09:30:00,14,3296,holding,12284.67219411999,97.46209293041869,-1.0,-1,210.48722109135704,56.59,133.74,1.0858247621131496
2011-07-26 16:00:00,14,3297,holding,12146.76061057966,-40.4494906099125,-1.0,-1,210.48722109135704,56.8,133.33,1.0858247621131496
2011-07-27 09:30:00,14,3298,closing,11988.151172458005,-199.05892873156623,-1.0,-1,210.48722109135704,56.75,132.59,1.0856969129098657
2011-10-19 16:00:00,15,3417,opening,11988.151172458005,0.0,1.0,1,220.41094268170627,54.39,121.13,1.0727455967734105
2011-10-20 09:30:00,15,3418,holding,11864.319085741648,-123.83208671635572,1.0,1,220.41094268170627,54.15,121.43,1.0717112472520531
2011-10-20 16:00:00,15,3419,holding,11893.692924264931,-94.45824819307406,1.0,1,220.41094268170627,54.53,121.66,1.0717112472520531
2011-10-21 09:30:00,15,3420,holding,11694.43565656766,-293.71551589034385,1.0,1,220.41094268170627,55.16,123.09,1.071873697288291
2011-10-21 16:00:00,15,3421,holding,11969.064136987221,-19.08703547078462,1.0,1,220.41094268170627,57.35,123.97,1.071873697288291
2011-10-24 09:30:00,15,3422,holding,11879.897084229198,-108.25408822880604,1.0,1,220.41094268170627,57.16,124.17,1.0725308448601476
2011-10-24 16:00:00,15,3423,closing,11669.178891782716,-318.97228067528897,1.0,1,220.41094268170627,57.62,125.49,1.0725308448601476
