date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2013-07-18 16:00:00,0,4291,opening,10000.0,0.0,1.0,1,141.74344436569808,70.55,168.87,1.053892526142228
2013-07-19 09:30:00,0,4292,holding,10060.788431488274,60.78843148827443,1.0,1,141.74344436569808,70.61,168.52,1.0563164200866098
2013-07-19 16:00:00,0,4293,closing,10082.754392935132,82.75439293513185,1.0,1,141.74344436569808,71.45,169.17,1.0563164200866098
2013-10-17 09:30:00,1,4418,opening,10082.754392935132,0.0,1.0,1,140.48703348105244,71.77,171.37,0.8647692554795166
2013-10-17 16:00:00,1,4419,holding,9801.805174949031,-280.9492179861,1.0,1,140.48703348105244,71.37,173.22,0.8647692554795166
2013-10-18 09:30:00,1,4420,closing,9708.598726163436,-374.1556667716963,1.0,1,140.48703348105244,71.26,173.86,0.8915455808148629
2014-04-21 09:30:00,2,4670,opening,9708.598726163436,0.0,-1.0,-1,128.25097392554076,75.7,186.44,0.8082304299812011
2014-04-21 16:00:00,2,4671,closing,9866.980760488399,158.38203432496354,-1.0,-1,128.25097392554076,74.95,187.04,0.8082304299812011
2014-10-17 09:30:00,3,4922,opening,9866.980760488399,0.0,1.0,1,113.60945032226137,86.85,188.42,0.8839222001380023
2014-10-17 16:00:00,3,4923,holding,10013.06023365274,146.07947316434178,1.0,1,113.60945032226137,88.18,188.47,0.8839222001380023
2014-10-20 09:30:00,3,4924,closing,10054.020251869086,187.03949138068603,1.0,1,113.60945032226137,88.24,188.13,0.8836320453952692
2015-01-21 16:00:00,4,5051,opening,10054.020251869086,0.0,1.0,1,91.96871800099787,109.32,203.08,0.8971122034878434
2015-01-22 09:30:00,4,5052,holding,10018.486104684893,-35.53414718419284,1.0,1,91.96871800099787,109.75,203.99,0.8974465230849141
2015-01-22 16:00:00,4,5053,closing,10221.469641454969,167.44938958588355,1.0,1,91.96871800099787,113.85,206.1,0.8974465230849141
2015-04-16 16:00:00,5,5169,opening,10221.469641454969,0.0,1.0,1,84.05813849880731,121.6,210.37,0.9265309666377747
2015-04-17 09:30:00,5,5170,holding,10282.4066880491,60.937046594129406,1.0,1,84.05813849880731,121.0,208.94,0.9284937566537903
2015-04-17 16:00:00,5,5171,closing,10167.017194520731,-54.452446934238,1.0,1,84.05813849880731,118.71,207.95,0.9284937566537903
2015-07-16 16:00:00,6,5295,opening,10167.017194520731,0.0,-1.0,-2,81.38171131450197,124.93,212.3,0.9729818970945568
2015-07-17 09:30:00,6,5296,holding,10184.94315880443,17.92596428369839,-1.0,-2,81.38171131450197,124.7,212.29,0.9727186212708923
2015-07-17 16:00:00,6,5297,closing,10269.162370475839,102.14517595510685,-1.0,-2,81.38171131450197,123.85,212.48,0.9727186212708923
2015-10-16 09:30:00,7,5424,opening,10269.162370475839,0.0,1.0,1,84.9744507279755,120.85,202.83,0.9928066224508789
2015-10-16 16:00:00,7,5425,holding,10158.114791476883,-111.04757899895606,1.0,1,84.9744507279755,119.98,203.27,0.9928066224508789
2015-10-19 09:30:00,7,5426,closing,10206.07956334612,-63.08280712971835,1.0,1,84.9744507279755,119.78,202.5,0.9924324495266742
2016-01-19 16:00:00,8,5551,opening,10206.07956334612,0.0,-1.0,-1,90.65624056978255,112.58,188.06,0.9782907631231392
2016-01-20 09:30:00,8,5552,holding,9981.775988035584,-224.30357531053613,-1.0,-1,90.65624056978255,112.09,185.03,0.9717840424929856
2016-01-20 16:00:00,8,5553,closing,9791.990799413881,-414.08876393223863,-1.0,-1,90.65624056978255,114.79,185.65,0.9717840424929856
2016-07-19 16:00:00,9,5803,opening,9791.990799413881,0.0,1.0,1,68.67235289581234,142.59,216.19,0.946113302545146
2016-07-20 09:30:00,9,5804,holding,9816.038247070786,24.04744765690487,1.0,1,68.67235289581234,143.47,216.75,0.9460206186170232
2016-07-20 16:00:00,9,5805,closing,9763.045267226458,-28.94553218742306,1.0,1,68.67235289581234,143.02,217.09,0.9460206186170232
2016-10-19 09:30:00,10,5932,opening,9763.045267226458,0.0,1.0,1,67.88378019209053,143.82,214.02,0.849126299458528
2016-10-19 16:00:00,10,5933,holding,9785.39445153449,22.34918430803194,1.0,1,67.88378019209053,144.37,214.28,0.849126299458528
2016-10-20 09:30:00,10,5934,closing,9817.173685415326,54.12841818886695,1.0,1,67.88378019209053,144.49,213.87,0.841392997395602
2017-01-18 09:30:00,11,6054,opening,9817.173685415326,0.0,1.0,1,60.95351847395583,161.06,226.54,0.8398583525668527
2017-01-18 16:00:00,11,6055,holding,9604.057616543967,-213.1160688713582,1.0,1,60.95351847395583,157.74,226.75,0.8398583525668527
2017-01-19 09:30:00,11,6056,closing,9599.450307599185,-217.72337781614047,1.0,1,60.95351847395583,157.74,226.84,0.8400360919679308
2017-04-18 16:00:00,12,6179,opening,9599.450307599185,0.0,1.0,1,56.939618646415475,168.59,233.87,0.8456580033348331
2017-04-19 09:30:00,12,6180,holding,9625.091487505737,25.64117990655175,1.0,1,56.939618646415475,169.59,234.52,0.8455911952187833
2017-04-19 16:00:00,12,6181,closing,9657.735576918345,58.285269319159404,1.0,1,56.939618646415475,169.25,233.44,0.8455911952187833
2017-07-18 16:00:00,13,6305,opening,9657.735576918345,0.0,1.0,1,51.68710504104011,186.85,245.66,0.8423772513040356
2017-07-19 09:30:00,13,6306,holding,9676.17465131539,18.439074397045346,1.0,1,51.68710504104011,187.51,246.02,0.8423552289983646
2017-07-19 16:00:00,13,6307,closing,9720.775147556174,63.03957063782884,1.0,1,51.68710504104011,189.19,246.99,0.8423552289983646
2017-10-17 16:00:00,14,6433,opening,9720.775147556174,0.0,1.0,2,47.67656651898659,203.89,255.47,0.8280365259173497
2017-10-18 09:30:00,14,6434,holding,9699.508743011005,-21.266404545168978,1.0,2,47.67656651898659,203.8,255.9,0.8287063647708555
2017-10-18 16:00:00,14,6435,closing,9774.792262064604,54.01711450842992,1.0,2,47.67656651898659,205.23,255.72,0.8287063647708555
2018-01-16 16:00:00,15,6555,opening,9774.792262064604,0.0,1.0,1,41.969910957769876,232.9,276.97,0.8422893606446371
2018-01-17 09:30:00,15,6556,holding,9811.607146424909,36.81488436030557,1.0,1,41.969910957769876,234.67,278.03,0.8422424727085294
2018-01-17 16:00:00,15,6557,closing,9913.559732668371,138.76747060376658,1.0,1,41.969910957769876,238.43,279.61,0.8422424727085294
2018-04-18 09:30:00,16,6682,opening,9913.559732668371,0.0,1.0,1,41.479329425390674,239.0,270.69,0.8948393564712007
2018-04-18 16:00:00,16,6683,holding,9816.848677097318,-96.71105557105304,1.0,1,41.479329425390674,236.4,270.39,0.8948393564712007
2018-04-19 09:30:00,16,6684,closing,9836.019640185146,-77.54009248322514,1.0,1,41.479329425390674,236.2,269.65,0.8917988122589019
2018-07-18 09:30:00,17,6808,opening,9836.019640185146,0.0,1.0,1,39.17016303685694,251.11,280.56,0.9045884048162353
2018-07-18 16:00:00,17,6809,holding,9987.126605225047,151.10696503990124,1.0,1,39.17016303685694,255.42,281.06,0.9045884048162353
2018-07-19 09:30:00,17,6810,closing,10009.784245394789,173.76460520964247,1.0,1,39.17016303685694,255.32,280.31,0.9041006116060256
2018-10-17 09:30:00,18,6936,opening,10009.784245394789,0.0,1.0,2,37.047204727764864,270.19,280.44,0.9117678628798179
2018-10-17 16:00:00,18,6937,holding,9902.380039224747,-107.4042061700427,1.0,2,37.047204727764864,267.3,280.45,0.9117678628798179
2018-10-18 09:30:00,18,6938,closing,9939.699772675456,-70.08447271933314,1.0,2,37.047204727764864,267.35,279.4,0.9139768469018815
2019-01-16 09:30:00,19,7058,opening,9939.699772675456,0.0,1.0,1,38.417268089032795,258.73,260.83,0.9116158245811466
2019-01-16 16:00:00,19,7059,holding,10039.325646129442,99.62587345398607,1.0,1,38.417268089032795,261.46,260.98,0.9116158245811466
2019-01-17 09:30:00,19,7060,closing,10055.240665968924,115.54089329346719,1.0,1,38.417268089032795,260.99,260.01,0.9123581326824239
2019-04-17 09:30:00,20,7184,opening,10055.240665968924,0.0,-1.0,-1,44.93159062500078,223.79,291.4,0.914729200817753
2019-04-17 16:00:00,20,7185,holding,10287.369756744118,232.1290907751944,-1.0,-1,44.93159062500078,216.84,289.45,0.914729200817753
2019-04-18 09:30:00,20,7186,closing,10300.605434246141,245.36476827721668,-1.0,-1,44.93159062500078,217.14,290.1,0.9174286089541538
2019-07-19 09:30:00,21,7312,opening,10300.605434246141,0.0,1.0,2,39.45080595268533,261.1,300.04,0.9181355336941648
2019-07-19 16:00:00,21,7313,holding,10229.004153809647,-71.60128043649469,1.0,2,39.45080595268533,256.65,297.17,0.9181355336941648
2019-07-22 09:30:00,21,7314,closing,10271.848532496813,-28.75690174932793,1.0,2,39.45080595268533,258.14,297.61,0.9196868335851406
2019-10-16 09:30:00,22,7436,opening,10271.848532496813,0.0,1.0,1,43.471363716182715,236.29,298.37,0.9097143608338369
2019-10-16 16:00:00,22,7437,holding,10301.092091382414,29.243558885600446,1.0,1,43.471363716182715,236.99,298.4,0.9097143608338369
2019-10-17 09:30:00,22,7438,closing,10324.37385916214,52.525326665327114,1.0,1,43.471363716182715,238.69,299.68,0.9079139371357967
2020-01-16 09:30:00,23,7562,opening,10324.37385916214,0.0,1.0,1,34.6455498629602,298.0,329.7,0.9010126188769346
2020-01-16 16:00:00,23,7563,holding,10381.219051097012,56.84519193487264,1.0,1,34.6455498629602,300.74,330.92,0.9010126188769346
2020-01-17 09:30:00,23,7564,closing,10331.579259157776,7.205399995635301,1.0,1,34.6455498629602,300.01,331.7,0.9000046607329134
2020-07-15 16:00:00,24,7811,opening,10331.579259157776,0.0,1.0,1,33.977634291964925,304.07,321.85,0.9102689907061264
