date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2015-11-02 16:00:00,0,1321,opening,10000.0,0.0,1.0,2,10,75.22,210.39,1.0554264513332414
2015-11-03 09:30:00,0,1322,holding,10003.5327910956,3.532791095599448,1.0,2,10,75.13,209.97,1.0536241119398648
2015-11-03 16:00:00,0,1323,closing,10020.361898646866,20.361898646867154,1.0,2,10,77.9,211.0,1.0536241119398648
2016-07-22 09:30:00,1,1682,opening,10020.361898646866,0.0,-1.0,-2,10,79.98,216.41,1.0804211422234273
2016-07-22 16:00:00,1,1683,holding,10030.029394127321,9.667495480454654,-1.0,-2,10,79.91,217.24,1.0804211422234273
2016-07-25 09:30:00,1,1684,closing,10024.836383385984,4.474484739118281,-1.0,-2,10,80.17,217.0,1.0805411699931988
2018-04-26 09:30:00,2,2568,opening,10024.836383385984,0.0,1.0,2,10,125.14,264.79,1.2196599185297072
2018-04-26 16:00:00,2,2569,holding,10025.697552624333,0.8611692383486491,1.0,2,10,127.08,266.31,1.2196599185297072
2018-04-27 09:30:00,2,2570,closing,10010.881899186477,-13.954484199506307,1.0,2,10,126.44,267.0,1.2196686666575387
2021-01-29 09:30:00,3,3958,opening,10010.881899186477,0.0,-1.0,-2,10,197.82,375.63,1.2102516691641205
2021-01-29 16:00:00,3,3959,holding,9989.291906380951,-21.589992805525196,-1.0,-2,10,193.25,370.07,1.2102516691641205
2021-02-01 09:30:00,3,3960,closing,10014.566092305444,3.6841931189657506,-1.0,-2,10,195.14,373.72,1.2105183591665838
2024-07-24 09:30:00,4,5708,opening,10014.566092305444,0.0,1.0,2,10,256.07,548.86,1.1007648466869295
2024-07-24 16:00:00,4,5709,holding,10079.554450107657,64.98835780221262,1.0,2,10,254.17,541.23,1.1007648466869295
2024-07-25 09:30:00,4,5710,closing,10090.433532291632,75.86743998618823,1.0,2,10,255.39,541.35,1.0997920429531054
2024-10-30 09:30:00,5,5846,opening,10090.433532291632,0.0,1.0,2,10,292.34,581.29,1.0717961864830927
2024-10-30 16:00:00,5,5847,holding,10082.352523478616,-8.081008813016206,1.0,2,10,290.16,580.01,1.0717961864830927
2024-10-31 09:30:00,5,5848,closing,10149.347453777114,58.91392148548141,1.0,2,10,292.09,575.56,1.0712722378460555
