date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2017-04-21 09:30:00,0,2058,opening,10000.0,0.0,1.0,2,107.79346771585642,92.77,235.25,1.1765751686165205
2017-04-21 16:00:00,0,2059,holding,9909.080479819651,-90.91952018034826,1.0,2,107.79346771585642,91.15,234.59,1.1765751686165205
2017-04-24 09:30:00,0,2060,closing,9688.391713330831,-311.6082866691692,1.0,2,107.79346771585642,92.15,237.18,1.1750164733733874
2017-10-25 16:00:00,1,2319,opening,9688.391713330831,0.0,1.0,2,88.48654409837275,109.49,255.29,1.2008774870356225
2017-10-26 09:30:00,1,2320,holding,9692.761688479057,4.369975148225527,1.0,2,88.48654409837275,110.38,255.99,1.2003619712354388
2017-10-26 16:00:00,1,2321,closing,9680.75624742593,-7.635465904901394,1.0,2,88.48654409837275,109.8,255.62,1.2003619712354388
2023-07-26 09:30:00,2,5208,opening,9680.75624742593,0.0,1.0,2,41.83197756212052,231.42,454.47,1.1458788553774302
2023-07-26 16:00:00,2,5209,holding,9868.510126269037,187.7538788431073,1.0,2,41.83197756212052,237.1,455.51,1.1458788553774302
2023-07-27 09:30:00,2,5210,closing,9713.646690318546,32.89044289261594,1.0,2,41.83197756212052,237.42,459.02,1.1468535225010243
2024-10-30 09:30:00,3,5846,opening,9713.646690318546,0.0,1.0,2,33.227224089479876,292.34,581.29,1.0717961864830927
2024-10-30 16:00:00,3,5847,holding,9686.795741248632,-26.850949069915124,1.0,2,33.227224089479876,290.16,580.01,1.0717961864830927
2024-10-31 09:30:00,3,5848,closing,9909.401297437358,195.75460711881138,1.0,2,33.227224089479876,292.09,575.56,1.0712722378460555
