date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-05-02 16:00:00,0,661,opening,10000.0,0.0,1.0,2,10,30.06,131.38,0.861251252016471
2006-05-03 09:30:00,0,662,holding,10001.478002003227,1.47800200322634,1.0,2,10,30.07,131.22,0.8593436153942645
2006-05-03 16:00:00,0,663,closing,10004.22013113488,4.220131134880786,1.0,2,10,30.06,130.89,0.8593436153942645
2006-08-01 16:00:00,1,787,opening,10004.22013113488,0.0,1.0,2,10,30.64,127.22,0.8622947469164284
2006-08-02 09:30:00,1,788,holding,10003.415870045981,-0.8042610888991331,1.0,2,10,30.87,127.58,0.8620598029630695
2006-08-02 16:00:00,1,789,closing,9999.2043963114,-5.0157348234814165,1.0,2,10,30.88,128.08,0.8620598029630695
2012-10-18 16:00:00,2,3921,opening,9999.2043963114,0.0,1.0,2,10,45.78,145.82,0.769383832799379
2012-10-19 09:30:00,2,3922,holding,10003.181732659958,3.9773363485581608,1.0,2,10,45.97,145.55,0.769475123084772
2012-10-19 16:00:00,2,3923,closing,10011.700423448425,12.49602713702492,1.0,2,10,45.16,143.39,0.769475123084772
2013-07-18 16:00:00,3,4291,opening,10011.700423448425,0.0,1.0,2,10,49.97,168.87,0.7498634630176847
2013-07-19 09:30:00,3,4292,holding,10015.124945568987,3.424522120561837,1.0,2,10,50.05,168.52,0.7507772218549342
2013-07-19 16:00:00,3,4293,closing,10009.250833059372,-2.4495903890528865,1.0,2,10,49.95,169.17,0.7507772218549342
2015-01-22 16:00:00,4,5053,opening,10009.250833059372,0.0,1.0,2,10,47.8,206.1,0.5779822420120101
2015-01-23 09:30:00,4,5054,holding,10011.542578009608,2.291744950237287,1.0,2,10,47.85,205.79,0.5768533485447891
2015-01-23 16:00:00,4,5055,closing,10009.282032394107,0.031199334735702022,1.0,2,10,47.15,204.97,0.5768533485447891
2016-07-26 16:00:00,5,5813,opening,10009.282032394107,0.0,1.0,2,10,54.81,216.75,0.5763726769678168
2016-07-27 09:30:00,5,5814,holding,10008.14599261545,-1.1360397786583754,1.0,2,10,54.95,217.19,0.5751787626103234
2016-07-27 16:00:00,5,5815,closing,10015.707689551133,6.425657157025899,1.0,2,10,55.32,216.52,0.5751787626103234
2018-01-23 16:00:00,6,6565,opening,10015.707689551133,0.0,1.0,2,10,53.23,283.29,0.6256505058445803
2018-01-24 09:30:00,6,6566,holding,10017.040440858467,1.3327513073348403,1.0,2,10,53.82,284.02,0.6248353809609336
2018-01-24 16:00:00,6,6567,closing,10026.295905107561,10.588215556429144,1.0,2,10,54.22,283.18,0.6248353809609336
2020-04-24 16:00:00,7,7699,opening,10026.295905107561,0.0,1.0,2,10,57.93,282.97,0.46902982828352485
2020-04-27 09:30:00,7,7700,closing,10016.211763799465,-10.084141308095678,1.0,2,10,57.93,285.12,0.4686150666249557
2023-04-25 16:00:00,8,9209,opening,10016.211763799465,0.0,1.0,2,10,37.3,406.08,0.3698620007463959
2023-04-26 09:30:00,8,9210,holding,10011.844646994688,-4.3671168047770506,1.0,2,10,37.1,406.72,0.3689191522471316
2023-04-26 16:00:00,8,9211,closing,10018.773390212304,2.5616264128379465,1.0,2,10,36.92,404.36,0.3689191522471316
2023-07-25 16:00:00,9,9333,opening,10018.773390212304,0.0,1.0,2,10,34.24,455.44,0.36748685093281264
2023-07-26 09:30:00,9,9334,holding,10018.438012666351,-0.33537754595183156,1.0,2,10,33.85,454.47,0.3674337485705739
2023-07-26 16:00:00,9,9335,closing,10019.516149416651,0.7427592043470704,1.0,2,10,34.34,455.51,0.3674337485705739
