date,trade_id,idx,event,current_pos,change,direction,score,shares,price_stock,price_spy,beta
2006-02-21 16:00:00,0,563,opening,10000.0,0.0,1.0,1,655.7377049180328,15.25,128.49,0.7999457696854327
2006-02-22 09:30:00,0,564,holding,9892.468973434805,-107.53102656519448,1.0,1,655.7377049180328,15.31,128.77,0.8012382711454225
2006-02-22 16:00:00,0,565,holding,9531.831016160893,-468.1689838391071,1.0,1,655.7377049180328,15.16,129.27,0.8012382711454225
2006-02-23 09:30:00,0,566,holding,9538.388393210073,-461.61160678992695,1.0,1,655.7377049180328,15.17,129.27,0.8011287657688034
2006-02-23 16:00:00,0,567,holding,9677.398030088912,-322.601969911087,1.0,1,655.7377049180328,15.23,129.08,0.8011287657688034
2006-02-24 09:30:00,0,568,holding,9661.66139199674,-338.33860800326005,1.0,1,655.7377049180328,15.23,129.11,0.7997063689465227
2006-02-24 16:00:00,0,569,holding,9451.835994681582,-548.1640053184183,1.0,1,655.7377049180328,15.15,129.41,0.7997063689465227
2006-02-27 09:30:00,0,570,closing,9476.753671859842,-523.2463281401583,1.0,1,655.7377049180328,15.18,129.4,0.7996334923512898
2006-05-16 16:00:00,1,681,opening,9476.753671859842,0.0,1.0,1,591.5576574194658,16.02,129.31,0.8017880782999469
2006-05-17 09:30:00,1,682,holding,9697.490081322547,220.7364094627045,1.0,1,591.5576574194658,15.88,128.67,0.8005764798349582
2006-05-17 16:00:00,1,683,holding,10401.002570588955,924.2488987291134,1.0,1,591.5576574194658,15.61,126.85,0.8005764798349582
2006-05-18 09:30:00,1,684,holding,10185.114975040759,708.361303180916,1.0,1,591.5576574194658,15.67,127.38,0.802147961760698
2006-05-18 16:00:00,1,685,holding,10781.459547554909,1304.7058756950667,1.0,1,591.5576574194658,15.74,126.21,0.802147961760698
2006-05-19 09:30:00,1,686,holding,10515.74360110012,1038.9899292402774,1.0,1,591.5576574194658,15.82,126.87,0.8023291228883112
2006-05-19 16:00:00,1,687,holding,10377.075826439577,900.3221545797352,1.0,1,591.5576574194658,15.77,127.1,0.8023291228883112
2006-05-22 09:30:00,1,688,closing,10760.089429289077,1283.3357574292343,1.0,1,591.5576574194658,15.76,126.28,0.8023014012155149
2007-02-20 16:00:00,2,1063,opening,10760.089429289077,0.0,1.0,1,642.393398763527,16.75,146.04,0.8328882346245974
2007-02-21 09:30:00,2,1064,holding,10919.494174072257,159.40474478317992,1.0,1,642.393398763527,16.64,145.61,0.8325120827852969
2007-02-21 16:00:00,2,1065,holding,10734.3765376302,-25.712891658877183,1.0,1,642.393398763527,16.66,145.98,0.8325120827852969
2007-02-22 09:30:00,2,1066,holding,10722.619340312584,-37.470088976493635,1.0,1,642.393398763527,16.7,146.05,0.8331753115612074
2007-02-22 16:00:00,2,1067,holding,10728.991807175209,-31.097622113867313,1.0,1,642.393398763527,16.56,145.87,0.8331753115612074
2007-02-23 09:30:00,2,1068,holding,10792.123320685558,32.033891396480634,1.0,1,642.393398763527,16.55,145.74,0.8329035039917744
2007-02-23 16:00:00,2,1069,holding,11008.269956408136,248.1805271190584,1.0,1,642.393398763527,16.52,145.3,0.8329035039917744
2007-02-26 09:30:00,2,1070,closing,10756.817417316068,-3.2720119730093264,1.0,1,642.393398763527,16.57,145.83,0.8333307600404989
2007-08-14 16:00:00,3,1307,opening,10756.817417316068,0.0,-1.0,-1,736.2640258258774,14.61,143.01,0.8158644182709928
2007-08-15 09:30:00,3,1308,holding,10545.803645898735,-211.01377141733334,-1.0,-1,736.2640258258774,14.66,142.72,0.812709675532864
2007-08-15 16:00:00,3,1309,holding,9705.982448349878,-1050.8349689661902,-1.0,-1,736.2640258258774,14.43,141.04,0.812709675532864
2007-08-16 09:30:00,3,1310,holding,9014.019044010587,-1742.798373305481,-1.0,-1,736.2640258258774,14.35,139.79,0.8173890223618492
2007-08-16 16:00:00,3,1311,holding,10291.177084933814,-465.64033238225454,-1.0,-1,736.2640258258774,14.5,142.1,0.8173890223618492
2007-08-17 09:30:00,3,1312,holding,12039.022986426047,1282.205569109979,-1.0,-1,736.2640258258774,14.9,145.5,0.8025646702725425
2007-08-17 16:00:00,3,1313,holding,11858.982216068214,1102.1647987521471,-1.0,-1,736.2640258258774,14.5,144.71,0.8025646702725425
2007-08-20 09:30:00,3,1314,closing,12083.761879977563,1326.944462661496,-1.0,-1,736.2640258258774,14.57,145.17,0.8032597482523551
2007-11-13 16:00:00,4,1435,opening,12083.761879977563,0.0,1.0,1,788.7573028705981,15.32,148.08,0.8271233553333204
2007-11-14 09:30:00,4,1436,holding,11411.014508176777,-672.747371800785,1.0,1,788.7573028705981,15.41,149.22,0.8290178627927616
2007-11-14 16:00:00,4,1437,holding,12493.222025120822,409.46014514325924,1.0,1,788.7573028705981,15.5,147.67,0.8290178627927616
2007-11-15 09:30:00,4,1438,holding,13155.648559503265,1071.8866795257015,1.0,1,788.7573028705981,15.43,146.57,0.8258602406996106
2007-11-15 16:00:00,4,1439,holding,13803.957414917957,1720.1955349403938,1.0,1,788.7573028705981,15.4,145.54,0.8258602406996106
2007-11-16 09:30:00,4,1440,holding,13356.82274421052,1273.0608642329576,1.0,1,788.7573028705981,15.47,146.31,0.824271781241244
2007-11-16 16:00:00,4,1441,holding,13680.295383337989,1596.5335033604256,1.0,1,788.7573028705981,15.45,145.79,0.824271781241244
2007-11-19 09:30:00,4,1442,closing,13918.368296309445,1834.6064163318829,1.0,1,788.7573028705981,15.33,145.28,0.8246724234231406
2008-02-19 16:00:00,5,1565,opening,13918.368296309445,0.0,1.0,1,840.9890209250419,16.55,135.52,0.8382982473565973
2008-02-20 09:30:00,5,1566,holding,14896.099035898473,977.7307395890281,1.0,1,840.9890209250419,16.43,133.99,0.8320678659554525
2008-02-20 16:00:00,5,1567,holding,13653.18822781292,-265.1800684965248,1.0,1,840.9890209250419,16.57,135.92,0.8320678659554525
2008-02-21 09:30:00,5,1568,holding,13173.53795836634,-744.8303379431051,1.0,1,840.9890209250419,16.62,136.66,0.8329510203175208
2008-02-21 16:00:00,5,1569,holding,14475.067471625662,556.6991753162159,1.0,1,840.9890209250419,16.6,134.79,0.8329510203175208
2008-02-22 09:30:00,5,1570,holding,14373.397210241637,455.02891393219176,1.0,1,840.9890209250419,16.63,134.97,0.8312278509139914
2008-02-22 16:00:00,5,1571,holding,13940.377126382444,22.008830072997803,1.0,1,840.9890209250419,16.66,135.62,0.8312278509139914
2008-02-25 09:30:00,5,1572,closing,14055.646327630213,137.27803132076806,1.0,1,840.9890209250419,16.73,135.54,0.8315306082799062
2008-05-14 16:00:00,6,1685,opening,14055.646327630213,0.0,1.0,1,733.9763095368257,19.15,140.77,0.7556213167012696
2008-05-15 09:30:00,6,1686,holding,13935.261180742964,-120.38514688724872,1.0,1,733.9763095368257,19.19,141.04,0.7556777240047113
2008-05-15 16:00:00,6,1687,holding,12998.7985976072,-1056.847730023014,1.0,1,733.9763095368257,19.04,142.53,0.7556777240047113
2008-05-16 09:30:00,6,1688,holding,12881.835777470387,-1173.8105501598259,1.0,1,733.9763095368257,19.13,142.86,0.7531699060599041
2008-05-16 16:00:00,6,1689,holding,12904.68024941393,-1150.9660782162825,1.0,1,733.9763095368257,19.01,142.66,0.7531699060599041
2008-05-19 09:30:00,6,1690,holding,12799.469738311858,-1256.1765893183547,1.0,1,733.9763095368257,18.98,142.81,0.7531335627579191
2008-05-19 16:00:00,6,1691,closing,12534.248047689684,-1521.3982799405292,1.0,1,733.9763095368257,18.8,143.05,0.7531335627579191
2008-08-14 16:00:00,7,1813,opening,12534.248047689684,0.0,1.0,1,647.0959239901747,19.37,129.54,0.7527289129979376
2008-08-15 09:30:00,7,1814,holding,12350.754760456073,-183.49328723360966,1.0,1,647.0959239901747,19.38,129.93,0.752377691931679
2008-08-15 16:00:00,7,1815,holding,12499.16301453913,-35.08503315055339,1.0,1,647.0959239901747,19.79,130.17,0.752377691931679
2008-08-18 09:30:00,7,1816,holding,12398.404020516391,-135.84402717329164,1.0,1,647.0959239901747,19.83,130.43,0.7532449155793535
2008-08-18 16:00:00,7,1817,holding,13249.702052638426,715.454004948742,1.0,1,647.0959239901747,19.61,128.39,0.7532449155793535
2008-08-19 09:30:00,7,1818,holding,13650.996678125905,1116.7486304362205,1.0,1,647.0959239901747,19.5,127.42,0.7528195089385021
2008-08-19 16:00:00,7,1819,closing,13795.734844659213,1261.486796969529,1.0,1,647.0959239901747,19.4,126.99,0.7528195089385021
2008-11-13 16:00:00,8,1941,opening,13795.734844659213,0.0,1.0,1,753.4535687962433,18.31,91.17,0.7186170991301253
2008-11-14 09:30:00,8,1942,holding,14613.055729846063,817.3208851868493,1.0,1,753.4535687962433,18.13,89.41,0.7200010130675318
2008-11-14 16:00:00,8,1943,holding,15701.752215366057,1906.0173707068445,1.0,1,753.4535687962433,17.57,86.62,0.7200010130675318
2008-11-17 09:30:00,8,1944,holding,15846.76799504701,2051.033150387797,1.0,1,753.4535687962433,17.59,86.38,0.721331851006144
2008-11-17 16:00:00,8,1945,holding,16098.377455355423,2302.64261069621,1.0,1,753.4535687962433,17.27,85.47,0.721331851006144
2008-11-18 09:30:00,8,1946,holding,16241.501590343601,2445.7667456843883,1.0,1,753.4535687962433,17.23,85.15,0.722126917326905
2008-11-18 16:00:00,8,1947,closing,15452.687691114766,1656.9528464555533,1.0,1,753.4535687962433,17.57,87.08,0.722126917326905
2009-08-13 16:00:00,9,2315,opening,15452.687691114766,0.0,1.0,1,893.7355518285001,17.29,101.57,0.6444580922963649
2009-08-14 09:30:00,9,2316,holding,15481.486446552206,28.798755437440064,1.0,1,893.7355518285001,17.29,101.52,0.6446308883510488
2009-08-14 16:00:00,9,2317,holding,15875.136209383996,422.44851826923025,1.0,1,893.7355518285001,17.26,100.79,0.6446308883510488
2009-08-17 09:30:00,9,2318,holding,16849.530232064182,1396.8425409494153,1.0,1,893.7355518285001,17.1,98.85,0.6440407060687681
2009-08-17 16:00:00,9,2319,holding,17240.992990453113,1788.3052993383458,1.0,1,893.7355518285001,17.19,98.31,0.6440407060687681
2009-08-18 09:30:00,9,2320,holding,17132.15317756494,1679.4654864501726,1.0,1,893.7355518285001,17.21,98.53,0.6435365732286484
2009-08-18 16:00:00,9,2321,closing,16729.170917001025,1276.4832258862593,1.0,1,893.7355518285001,17.12,99.09,0.6435365732286484
2009-11-12 16:00:00,10,2443,opening,16729.170917001025,0.0,1.0,1,942.4885023662549,17.75,109.03,0.6320430667103764
2009-11-13 09:30:00,10,2444,holding,16571.801671479734,-157.36924552129116,1.0,1,942.4885023662549,17.76,109.31,0.6320570044557126
2009-11-13 16:00:00,10,2445,holding,16358.862086162544,-370.3088308384809,1.0,1,942.4885023662549,17.73,109.62,0.6320570044557126
2009-11-16 09:30:00,10,2446,holding,15953.259585515987,-775.9113314850385,1.0,1,942.4885023662549,17.78,110.38,0.631808484928876
2009-11-16 16:00:00,10,2447,holding,15402.284816972895,-1326.8861000281302,1.0,1,942.4885023662549,17.72,111.21,0.631808484928876
2009-11-17 09:30:00,10,2448,holding,15650.434960940896,-1078.7359560601299,1.0,1,942.4885023662549,17.8,110.92,0.6317835817492419
2009-11-17 16:00:00,10,2449,closing,15485.067730336425,-1244.1031866646,1.0,1,942.4885023662549,17.89,111.34,0.6317835817492419
2010-02-18 16:00:00,11,2573,opening,15485.067730336425,0.0,1.0,1,868.9712531052987,17.82,110.91,0.6273669880116309
2010-02-19 09:30:00,11,2574,holding,15564.95784209846,79.89011176203441,1.0,1,868.9712531052987,17.73,110.62,0.6272767423664679
2010-02-19 16:00:00,11,2575,holding,15368.36975098972,-116.6979793467046,1.0,1,868.9712531052987,17.83,111.14,0.6272767423664679
2010-02-22 09:30:00,11,2576,holding,15153.542273651738,-331.5254566846876,1.0,1,868.9712531052987,17.84,111.55,0.6273069995382495
2010-02-22 16:00:00,11,2577,holding,15453.05331127672,-32.01441905970425,1.0,1,868.9712531052987,17.94,111.16,0.6273069995382495
2010-02-23 09:30:00,11,2578,holding,15599.223049533422,114.15531919699774,1.0,1,868.9712531052987,17.92,110.86,0.6271466827153339
2010-02-23 16:00:00,11,2579,closing,16128.196558493988,643.1288281575627,1.0,1,868.9712531052987,17.87,109.81,0.6271466827153339
2010-05-18 16:00:00,12,2697,opening,16128.196558493988,0.0,1.0,1,901.0165675136307,17.9,112.4,0.6223034015584153
2010-05-19 09:30:00,12,2698,holding,16427.380139582434,299.18358108844734,1.0,1,901.0165675136307,17.84,111.77,0.6201926198585231
2010-05-19 16:00:00,12,2699,holding,16288.824545528492,160.62798703450335,1.0,1,901.0165675136307,17.68,111.76,0.6201926198585231
2010-05-20 09:30:00,12,2700,holding,17425.080406757144,1296.8838482631547,1.0,1,901.0165675136307,17.46,109.38,0.6211114890818165
2010-05-20 16:00:00,12,2701,holding,18132.412884128797,2004.2163256348067,1.0,1,901.0165675136307,17.1,107.54,0.6211114890818165
2010-05-21 09:30:00,12,2702,holding,18875.16998626469,2746.9734277707,1.0,1,901.0165675136307,16.91,105.91,0.622271086842142
2010-05-21 16:00:00,12,2703,holding,17264.518249256802,1136.3216907628123,1.0,1,901.0165675136307,17.12,109.12,0.622271086842142
2010-05-24 09:30:00,12,2704,closing,17501.829831724837,1373.6332732308501,1.0,1,901.0165675136307,17.01,108.52,0.6215309537849392
2010-08-18 09:30:00,13,2824,opening,17501.829831724837,0.0,1.0,1,1029.5194018661668,17.0,109.54,0.6117992272655189
2010-08-18 16:00:00,13,2825,holding,17292.889068002383,-208.9407637224541,1.0,1,1029.5194018661668,16.95,109.79,0.6117992272655189
2010-08-19 09:30:00,13,2826,holding,17600.43282738353,98.60299565869215,1.0,1,1029.5194018661668,16.9,109.22,0.6115086469437239
2010-08-19 16:00:00,13,2827,holding,18228.24504684386,726.4152151190193,1.0,1,1029.5194018661668,16.69,107.88,0.6115086469437239
2010-08-20 09:30:00,13,2828,holding,18460.68556474514,958.8557330203033,1.0,1,1029.5194018661668,16.72,107.56,0.6115792434351539
2010-08-20 16:00:00,13,2829,holding,18500.171728017962,998.3418962931244,1.0,1,1029.5194018661668,16.74,107.53,0.6115792434351539
2010-08-23 09:30:00,13,2830,closing,18302.485877238443,800.6560455136063,1.0,1,1029.5194018661668,16.86,108.04,0.6116508738647419
2010-11-19 09:30:00,14,2956,opening,18302.485877238443,0.0,1.0,1,1015.1129160975287,18.03,119.9,0.6037061369985479
2010-11-19 16:00:00,14,2957,holding,18164.993508942312,-137.49236829613199,1.0,1,1015.1129160975287,18.13,120.29,0.6037061369985479
2010-11-22 09:30:00,14,2958,holding,18471.784672293208,169.2987950547649,1.0,1,1015.1129160975287,18.07,119.69,0.6034811392992728
2010-11-22 16:00:00,14,2959,holding,18226.276498661773,-76.20937857666975,1.0,1,1015.1129160975287,18.13,120.19,0.6034811392992728
2010-11-23 09:30:00,14,2960,holding,19035.588177712212,733.1023004737704,1.0,1,1015.1129160975287,18.07,118.77,0.6033699554671893
2010-11-23 16:00:00,14,2961,holding,19048.973419916918,746.4875426784738,1.0,1,1015.1129160975287,17.89,118.45,0.6033699554671893
2010-11-24 09:30:00,14,2962,closing,18609.65325534294,307.1673781044964,1.0,1,1015.1129160975287,17.91,119.2,0.6032975191185795
2011-02-23 09:30:00,15,3084,opening,18609.65325534294,0.0,-1.0,-1,1044.3127528250807,17.82,131.75,0.6000898042953987
2011-02-23 16:00:00,15,3085,holding,18298.379592848283,-311.2736624946557,-1.0,-1,1044.3127528250807,17.68,131.02,0.6000898042953987
